,MSE,CRPS,pred_len,dataset
0,0.3482854962348938,0.174517041733627,96,electricity
0,0.3795697748661041,0.18240491938243436,192,electricity
0,0.4227218389511108,0.19225366475945532,336,electricity
0,0.4778228521347046,0.2032249028238895,720,electricity
0,0.12466283589601516,0.10747356474257382,96,ETTh1
0,0.1620453864336014,0.12350741641304593,192,ETTh1
0,0.1589576482772827,0.12304260602956338,336,ETTh1
0,0.1737095057964325,0.1308515332673818,720,ETTh1
0,0.20789130330085753,0.1414770886418537,96,ETTh2
0,0.2405889004468918,0.1557922535295955,192,ETTh2
0,0.276574569940567,0.16975228548433613,336,ETTh2
0,0.27804794907569885,0.1693001621006871,720,ETTh2
0,0.05197549164295197,0.06875011626279785,96,ETTm1
0,0.10651381313800812,0.09965815115405696,192,ETTm1
0,0.19838576316833495,0.13830849380669685,336,ETTm1
0,0.2308759182691574,0.15036758900415065,720,ETTm1
0,0.08971731215715409,0.08888761296174157,96,ETTm2
0,0.14158432483673095,0.11448562091810702,192,ETTm2
0,0.1874241888523102,0.13200583033812424,336,ETTm2
0,0.2966763645410538,0.1660015298246019,720,ETTm2
0,0.3918354570865631,0.19572526861313416,96,exchange_rate
0,0.6700267672538758,0.29748899006575436,192,exchange_rate
0,0.9294720530509949,0.3325343997967022,336,exchange_rate
0,1.1626345753669738,0.3578435655156187,720,exchange_rate
0,0.20859832763671876,0.11405615079366442,96,traffic
0,0.17245476841926574,0.10503512996803288,192,traffic
0,0.1612266480922699,0.10210107871596237,336,traffic
0,0.17955836951732634,0.1092912895169134,720,traffic
0,0.10857066065073014,0.0998699240413456,96,weather
0,0.16259596049785613,0.12010285920970547,192,weather
0,0.24984920620918274,0.149080264489208,336,weather
0,0.3625167489051819,0.18296809995458485,720,weather
